Episode week,Toronto,York,Ottawa,Peel,Toronto+Peel,,Toronto_Policy,York_Policy,Ottawa_Policy,Peel_Policy,,Toronto_Area,York_Area,Ottawa_Area,Peel_Area,,Toronto_Population,York_Population,Ottawa_Population,Peel_Population,,Toronto_Population_Density,York_Population_Density,Ottawa_Population_Density,Peel_Population_Density
2020/3/1,60,16,0,17,77,,Stage III,Stage III,Stage III,Stage III,,630.2,23.49,2790.3,1245.78,,2731571,145700,934243,1382000,,"4,334.40",6202.64,334.81,1109.35
2020/3/8,248,71,9,73,321,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/3/15,580,232,20,216,796,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/3/22,639,325,104,212,851,,Stage I,Stage I,Stage I,Stage I,,,,,,,,,,,,,,,
2020/3/29,961,467,222,231,1192,,Stage I,Stage I,Stage I,Stage I,,,,,,,,,,,,,,,
2020/4/5,1162,506,224,264,1426,,Stage I,Stage I,Stage I,Stage I,,,,,,,,,,,,,,,
2020/4/12,1766,703,268,354,2120,,Stage I,Stage I,Stage I,Stage I,,,,,,,,,,,,,,,
2020/4/19,1268,497,281,226,1494,,Stage I,Stage I,Stage I,Stage I,,,,,,,,,,,,,,,
2020/4/26,1294,429,363,246,1540,,Stage I,Stage I,Stage I,Stage I,,,,,,,,,,,,,,,
2020/5/3,997,424,150,167,1164,,Stage I,Stage I,Stage I,Stage I,,,,,,,,,,,,,,,
2020/5/10,1194,472,134,185,1379,,Stage I,Stage I,Stage I,Stage I,,,,,,,,,,,,,,,
2020/5/17,1151,521,105,225,1376,,Stage I,Stage II,Stage II,Stage I,,,,,,,,,,,,,,,
2020/5/24,1017,430,64,176,1193,,Stage I,Stage II,Stage II,Stage I,,,,,,,,,,,,,,,
2020/5/31,794,337,56,129,923,,Stage I,Stage II,Stage II,Stage I,,,,,,,,,,,,,,,
2020/6/7,505,222,35,92,597,,Stage I,Stage II,Stage II,Stage I,,,,,,,,,,,,,,,
2020/6/14,449,293,22,93,542,,Stage I,Stage II,Stage II,Stage I,,,,,,,,,,,,,,,
2020/6/21,364,238,29,89,453,,Stage II,Stage II,Stage II,Stage II,,,,,,,,,,,,,,,
2020/6/28,331,221,29,77,408,,Stage II,Stage II,Stage II,Stage II,,,,,,,,,,,,,,,
2020/7/5,286,223,40,82,368,,Stage II,Stage II,Stage II,Stage II,,,,,,,,,,,,,,,
2020/7/12,219,218,74,50,269,,Stage II,Stage II,Stage II,Stage II,,,,,,,,,,,,,,,
2020/7/19,164,97,200,29,193,,Stage II,Stage II,Stage III,Stage II,,,,,,,,,,,,,,,
2020/7/26,119,95,129,51,170,,Stage II,Stage III,Stage III,Stage II,,,,,,,,,,,,,,,
2020/8/2,145,111,78,34,179,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/8/9,153,143,65,37,190,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/8/16,211,180,128,54,265,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/8/23,270,237,118,74,344,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/8/30,411,371,126,110,521,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/9/6,695,433,235,164,859,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/9/13,1232,633,324,242,1474,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/9/20,1827,811,453,391,2218,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/9/27,1900,885,647,433,2333,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/10/4,1800,918,820,478,2278,,Stage III,Stage III,Stage III,Stage III,,,,,,,,,,,,,,,
2020/10/11,1982,1057,610,595,2577,,Stage II,Stage II,Stage II,Stage II,,,,,,,,,,,,,,,
2020/10/18,2358,1517,504,659,3017,,Stage II,Stage II,Stage II,Stage II,,,,,,,,,,,,,,,
2020/10/25,2167,1573,571,661,2828,,Stage II,Stage II,Stage II,Stage II,,,,,,,,,,,,,,,
2020/11/1,3178,2676,394,909,4087,,Stage II,Stage II,Stage II,Stage II,,,,,,,,,,,,,,,
2020/11/8,3068,3074,397,997,4065,,Red,Stage II,Stage II,Red,,,,,,,,,,,,,,,
2020/11/15,3311,3109,255,1085,4396,,Red,Orange,Stage II,Red,,,,,,,,,,,,,,,
2020/11/22,3406,3224,281,1234,4640,,Grey,Orange,Orange,Grey,,,,,,,,,,,,,,,
2020/11/29,2586,2749,290,1211,3797,,Grey,Orange,Orange,Grey,,,,,,,,,,,,,,,
2020/12/6,,,,,,,Grey,Orange,Orange,Grey,,,,,,,,,,,,,,,
2020/12/13,,,,,,,Grey,Orange,Orange,Grey,,,,,,,,,,,,,,,
2020/12/20,,,,,,,Grey,Orange,Orange,Grey,,,,,,,,,,,,,,,
2020/12/27,,,,,,,Grey,Orange,Orange,Grey,,,,,,,,,,,,,,,